code_type,code,consumer_description
HCPCS,A9570,Indium In-111 labeled white blood cell infection scan
HCPCS,A9571,Indium In-111 oxyquinoline platelet labeling
HCPCS,A9572,Indium In-111 pentetreotide neuroendocrine tumor scan
HCPCS,A9573,Gadopiclenol MRI contrast agent injection
HCPCS,A9575,Gadoterate meglumine MRI contrast agent injection
HCPCS,A9576,Gadoteridol MRI contrast agent injection
HCPCS,A9577,Gadobenate dimeglumine MRI contrast agent injection
HCPCS,A9578,Gadobenate dimeglumine MultiHance MRI contrast injection
HCPCS,A9579,Gadopentetate dimeglumine MRI contrast agent injection
HCPCS,A9580,Sodium fluoride F-18 PET bone scan radiopharmaceutical
HCPCS,A9581,Gadoxetate MRI contrast agent for liver imaging
HCPCS,A9582,Iobenguane sulfate I-123 diagnostic neuroendocrine imaging
HCPCS,A9583,Gadofosveset MRI contrast agent for vascular imaging
HCPCS,A9584,Ioflupane I-123 DaTscan brain dopamine imaging for Parkinson
HCPCS,A9585,Gadobutrol MRI contrast agent injection
HCPCS,A9586,Florbetapir F-18 PET amyloid brain imaging for Alzheimer
HCPCS,A9587,Gallium Ga-68 DOTATATE neuroendocrine tumor PET scan kit
HCPCS,A9588,Fluciclovine F-18 Axumin PET prostate cancer imaging
HCPCS,A9589,Hexaminolevulinate bladder cancer blue light detection agent
HCPCS,A9590,Iobenguane I-131 high dose therapeutic radiopharmaceutical
HCPCS,A9591,Fluoroestradiol F-18 Cerianna PET breast cancer imaging
HCPCS,A9592,Copper Cu-64 DOTATATE neuroendocrine tumor PET imaging
HCPCS,A9593,Gallium Ga-68 PSMA-11 prostate cancer PET imaging UCSF
HCPCS,A9594,Gallium Ga-68 PSMA-11 prostate cancer PET imaging UCLA
HCPCS,A9595,Piflufolastat F-18 Pylarify prostate cancer PET imaging
HCPCS,A9596,Gallium Ga-68 gozetotide Illuccix prostate cancer PET kit
HCPCS,A9597,Copper Cu-68 radioactive contrast agent PET imaging
HCPCS,A9598,PET diagnostic radiopharmaceutical for non-tumor identification
HCPCS,A9600,Strontium-89 chloride bone pain therapeutic radiopharmaceutical
HCPCS,A9601,Flortaucipir F-18 Tauvid PET tau brain imaging for Alzheimer
HCPCS,A9602,Fluorodopa F-18 PET brain imaging diagnostic
HCPCS,A9603,Pafolacianine Cytalux fluorescent imaging agent for cancer surgery
HCPCS,A9604,Samarium Sm-153 lexidronam bone pain therapeutic radiopharmaceutical
HCPCS,A9606,Radium Ra-223 dichloride bone cancer treatment
HCPCS,A9607,Lutetium Lu-177 vipivotide tetraxetan Pluvicto prostate cancer treatment
HCPCS,A9608,Flotufolastat F-18 prostate cancer PET imaging
HCPCS,A9609,Fluorodeoxyglucose F-18 FDG PET scan fifteen millicuries
HCPCS,A9611,Flurpiridaz F-18 PET heart perfusion imaging
HCPCS,A9612,Fluorescein injection for ophthalmic angiography
HCPCS,A9615,Pegulicianine injection fluorescent cancer imaging agent
HCPCS,A9697,Magtrace injection magnetic sentinel lymph node tracer
HCPCS,A9698,Non-radioactive contrast material not otherwise classified
HCPCS,A9699,Iodine I-131 MIBG iobenguane therapeutic radiopharmaceutical
HCPCS,A9700,Echocardiography ultrasound contrast agent
HCPCS,A9800,Gallium Ga-68 Locametz gozetotide prostate cancer PET
HCPCS,B4034,Enteral feeding supply kit with syringe per day
HCPCS,B4035,Enteral feeding supply kit with pump per day
HCPCS,B4036,Enteral feeding supply kit with gravity bag per day
HCPCS,B4081,Enteral nasogastric tubing with stylet
HCPCS,B4082,Enteral nasogastric tubing without stylet
HCPCS,B4083,Enteral stomach tube Levine type
HCPCS,B4086,Gastrostomy or jejunostomy feeding tube
HCPCS,B4087,Gastrojejunostomy feeding tube kit
HCPCS,B4150,Enteral formula complete with intact nutrients
HCPCS,B4151,Enteral formula with natural intact nutrients
HCPCS,B4152,Enteral formula calorie dense one and half calories per milliliter or more
HCPCS,B4153,Enteral formula hydrolyzed or amino acid based
HCPCS,B4154,Enteral formula for special metabolic non-inherited conditions
HCPCS,B4155,Enteral formula incomplete or modular nutrient
HCPCS,B4156,Enteral formula specialty standardized nutrients
HCPCS,B4164,Parenteral nutrition fifty percent dextrose solution
HCPCS,B4168,Parenteral nutrition amino acid three and a half percent solution
HCPCS,B4176,Parenteral nutrition amino acid seven percent or higher solution
HCPCS,B4178,Parenteral nutrition amino acid greater than standard concentration
HCPCS,B4180,Parenteral nutrition carbohydrate over fifty percent solution
HCPCS,B4184,Parenteral nutrition lipids ten percent IV emulsion
HCPCS,B4186,Parenteral nutrition lipids twenty percent IV emulsion
HCPCS,B4187,Parenteral nutrition fish oil IV lipid emulsion
HCPCS,B4189,Parenteral nutrition amino acid and carbohydrate combined solution
HCPCS,B4193,Parenteral nutrition solution fifty two to seventy three grams protein
HCPCS,B4197,Parenteral nutrition solution seventy four to one hundred grams protein
HCPCS,B4199,Parenteral nutrition amino acid solution compounded
HCPCS,B4216,Parenteral nutrition additives electrolytes vitamins trace elements
HCPCS,B4220,Parenteral nutrition supply kit premixed
HCPCS,B4222,Parenteral nutrition supply kit home mixed
HCPCS,B4224,Parenteral nutrition administration kit
HCPCS,B5000,Parenteral nutrition solution for renal patients
HCPCS,B5100,Parenteral nutrition solution for hepatic patients
HCPCS,B9002,Enteral nutrition infusion pump any type
HCPCS,C1018,Blood product leukocyte reduced irradiated
HCPCS,C1052,Hemostatic catheter endoscopic hemospray system
HCPCS,C1062,Intravertebral body fracture augmentation with implant
HCPCS,C1300,Hyperbaric oxygen treatment chamber
HCPCS,C1474,Disposable single-use ureteroscope
HCPCS,C1600,Catheter bladed for vascular preparation atherectomy
HCPCS,C1601,Disposable flexible bronchoscope
HCPCS,C1602,Orthopedic bone void filler matrix with drug eluting
HCPCS,C1603,Introducer sheath for transradial catheterization
HCPCS,C1604,Branched stent graft endovascular repair system
HCPCS,C1605,Pacemaker ventricular leadless dual chamber
HCPCS,C1713,Spinal fixation anchor screw titanium or stainless steel
HCPCS,C1714,Catheter atherectomy peripheral artery plaque removal
HCPCS,C1715,Brachytherapy needle set for radiation seed implant
HCPCS,C1716,Tibial insert for knee joint replacement
HCPCS,C1717,Brachytherapy radiation source Iridium-192
HCPCS,C1719,Low dose iridium radiation seeds or ribbon
HCPCS,C1721,Implantable cardiac defibrillator dual chamber MRI compatible
HCPCS,C1722,Implantable cardiac defibrillator single chamber
HCPCS,C1724,Catheter rotational atherectomy for peripheral artery plaque removal
HCPCS,C1725,Catheter balloon coronary angioplasty non-compliant
HCPCS,C1726,Catheter balloon dilatation endoscopic biliary
HCPCS,C1727,Catheter cutting balloon for peripheral artery angioplasty
HCPCS,C1728,Catheter brachytherapy beta radiation delivery system
HCPCS,C1729,Catheter drainage multipurpose with locking mechanism
HCPCS,C1730,Catheter electrophysiology fixed quadripolar diagnostic
HCPCS,C1731,Catheter ablation multi-electrode for cardiac mapping
HCPCS,C1732,Catheter ablation irrigated tip bidirectional for cardiac rhythm
HCPCS,C1733,Catheter ablation temperature controlled for cardiac rhythm
HCPCS,C1734,Hip replacement femoral stem component
HCPCS,C1735,Catheter ablation renal denervation for blood pressure
HCPCS,C1736,Ultrasound renal denervation system for blood pressure
HCPCS,C1747,Disposable single-use digital ureteroscope
HCPCS,C1748,Disposable cover duodenoscope for ERCP procedures
HCPCS,C1749,Endoscopic retrograde imaging device for colon
HCPCS,C1750,Chronic hemodialysis catheter permanent tunneled
HCPCS,C1751,Central venous catheterization kit dual lumen
HCPCS,C1752,Short-term hemodialysis catheter triple lumen
HCPCS,C1753,Catheter intracardiac ultrasound echocardiography probe
HCPCS,C1755,Epidural anesthesia catheter tray and needle kit
HCPCS,C1756,Catheter electrophysiology diagnostic kit
HCPCS,C1757,Thrombectomy catheter kit for clot removal
HCPCS,C1758,Catheter ureteral angiographic for kidney procedures
HCPCS,C1759,Catheter intracardiac ultrasound four-way steerable
HCPCS,C1760,Vascular closure device arterial puncture site seal
HCPCS,C1761,Catheter intravascular lithotripsy for coronary calcium
HCPCS,C1762,Human tissue allograft corneal patch for eye surgery
HCPCS,C1763,Soft tissue graft porcine collagen matrix fistula plug
HCPCS,C1764,Implantable cardiac monitor loop recorder system
HCPCS,C1765,Adhesion barrier membrane bioresorbable for surgery
HCPCS,C1766,Introducer sheath steerable for cardiac catheter delivery
HCPCS,C1767,Implantable neurostimulator single channel for brain
HCPCS,C1768,Vascular graft polyester for aortic arch repair
HCPCS,C1769,Guidewire vascular extra stiff for catheter procedures
HCPCS,C1770,MRI imaging coil disposable
HCPCS,C1771,Midurethral sling system for female stress urinary incontinence
HCPCS,C1772,Implantable intrathecal drug delivery pump programmable
HCPCS,C1773,Endoscopic basket specimen retrieval device for biliary stones
HCPCS,C1776,Acetabular shell hip replacement component
HCPCS,C1777,Cardiac pacing lead defibrillator right ventricle steroid eluting
HCPCS,C1778,Neurostimulator lead spinal cord paddle type multi-electrode
HCPCS,C1779,Cardiac pacing lead quadripolar single pass right ventricle
HCPCS,C1780,Intraocular lens foldable posterior chamber for cataract surgery
HCPCS,C1781,Surgical mesh for hernia or tissue repair
HCPCS,C1782,Surgical morcellator rotary disposable for hysteroscopy
HCPCS,C1783,Ophthalmic micro-stent for glaucoma intraocular pressure reduction
HCPCS,C1784,Endovascular stent graft balloon expandable
HCPCS,C1785,Pacemaker cardiac dual chamber rate responsive
HCPCS,C1786,Pacemaker cardiac dual chamber lithium battery
HCPCS,C1787,Programmer for implantable neurostimulator rechargeable
HCPCS,C1788,Implantable infusion port power injectable with catheter
HCPCS,C1789,Breast implant saline adjustable contour profile
HCPCS,C1813,Penile prosthesis inflatable three-piece
HCPCS,C1814,Silicone oil kit for retinal tamponade eye surgery
HCPCS,C1815,Artificial urinary sphincter implant system
HCPCS,C1816,Peripheral nerve stimulator receiver implantable
HCPCS,C1817,Cardiovascular septal defect occluder device
HCPCS,C1818,Artificial cornea keratoprosthesis type one
HCPCS,C1819,Breast biopsy localization needle with hook wire
HCPCS,C1820,Implantable neurostimulator rechargeable dual channel for brain
HCPCS,C1821,Spinal interbody spacer fusion implant
HCPCS,C1822,Pacemaker cardiac dual chamber with defibrillator
HCPCS,C1823,Phrenic nerve stimulation lead for central sleep apnea
HCPCS,C1824,Cardiac contractility modulation generator implantable
HCPCS,C1825,Bone void filler bioactive matrix for skeletal repair
HCPCS,C1826,Implantable closed-loop spinal cord neurostimulator rechargeable
HCPCS,C1827,Vagus nerve stimulator implantable pulse generator for stroke rehab
HCPCS,C1830,Bone marrow biopsy needle with aspiration syringe
HCPCS,C1832,Autologous skin cell harvest and spray system
HCPCS,C1833,Cardiac monitor system implantable
HCPCS,C1839,Custom artificial iris prosthesis
HCPCS,C1840,Intraocular lens implant for cataract surgery
HCPCS,C1849,Skin substitute synthetic wound covering
HCPCS,C1874,Endovascular thoracic aortic stent graft
HCPCS,C1875,Tracheobronchial silicone stent Y-type
HCPCS,C1876,Biliary stent self-expanding nitinol
HCPCS,C1877,Tracheobronchial stent self-expanding stainless steel
HCPCS,C1878,Thyroplasty device Montgomery laryngeal implant
HCPCS,C1880,Vena cava filter embolization protection device
HCPCS,C1881,Tunneled dialysis or apheresis catheter
HCPCS,C1882,Implantable cardiac defibrillator resynchronization therapy
HCPCS,C1883,Neurostimulator extension lead for spinal cord
HCPCS,C1884,Embolic protection system with filter for carotid artery
HCPCS,C1885,Catheter excimer laser coronary atherectomy
HCPCS,C1886,Cryosurgical ablation probe for tissue destruction
HCPCS,C1887,Catheter guiding for coronary sinus lead delivery
HCPCS,C1888,Endovenous laser treatment kit for varicose veins
HCPCS,C1889,Embolization coil micro platinum for vascular occlusion
HCPCS,C1890,No implant device with device-intensive procedure
HCPCS,C1891,Hemostatic absorbable silver wound dressing topical
HCPCS,C1892,Introducer sheath peel-away for catheter placement
HCPCS,C1893,Catheter guiding reinforced for cardiac procedures
HCPCS,C1894,Micropuncture introducer set for vascular access
HCPCS,C1895,Defibrillator lead implantable dual coil active fixation
HCPCS,C1896,Balloon retrieval catheter for biliary stone extraction
HCPCS,C1897,Neurostimulator trial lead kit for spinal cord
HCPCS,C1898,Cardiac pacing lead quadripolar active fixation dual chamber
HCPCS,C1899,Implantable cardioverter defibrillator single chamber
HCPCS,C1900,Cardiac pacing lead left ventricle quadripolar for CRT
HCPCS,C1982,Microcatheter balloon occlusion for targeted therapy delivery
HCPCS,C2596,Laser probe for neurosurgical brain ablation
HCPCS,C2613,Lung biopsy tract plug with delivery system
HCPCS,C2614,Lumbar discectomy probe surgical
HCPCS,C2615,Implantable pulmonary liquid sealant
HCPCS,C2616,Yttrium-90 microsphere embolization for liver cancer treatment
HCPCS,C2617,Ureteral stent set with guidewire and catheter
HCPCS,C2618,Laser probe for MRI-guided neurosurgical ablation
HCPCS,C2619,Pacemaker cardiac dual chamber implantable
HCPCS,C2620,Pacemaker cardiac single chamber implantable
HCPCS,C2621,Pacemaker cardiac dual chamber rate responsive implantable
HCPCS,C2622,Penile prosthesis semi-rigid pair
HCPCS,C2623,Drug-coated balloon catheter for arteriovenous access
HCPCS,C2624,Implantable pulmonary artery pressure monitoring system
HCPCS,C2625,Biliary stent system preloaded one-step delivery
HCPCS,C2626,Intrathecal drug delivery pump system implantable
HCPCS,C2627,Suprapubic catheter set with trocar for bladder drainage
HCPCS,C2628,Catheter balloon occlusion aortic for hemorrhage control
HCPCS,C2629,Laser lead extraction sheath for cardiac device removal
HCPCS,C2630,Catheter cardiac ablation irrigated deflectable tip
HCPCS,C2631,Transvaginal suturing device for pelvic surgery
HCPCS,C2634,Brachytherapy non-stranded high activity Iodine-125 seed
HCPCS,C2635,Brachytherapy non-stranded high activity Palladium-103 seed
HCPCS,C2636,Brachytherapy linear non-stranded Palladium-103 per millimeter
HCPCS,C2637,Brachytherapy non-stranded Ytterbium-169 seed
HCPCS,C2638,Breast biopsy localization marker Iodine-125 seed
HCPCS,C2639,Brachytherapy Iodine-125 seed loose
HCPCS,C2640,Brachytherapy Palladium-103 stranded seeds
HCPCS,C2641,Brachytherapy Palladium-103 seeds in loaded magazine
HCPCS,C2642,Brachytherapy Cesium-131 seeds in bioresorbable collagen tile
HCPCS,C2643,Brachytherapy non-stranded Cesium-131 seed
HCPCS,C2644,Brachytherapy Cesium-131 chloride solution
HCPCS,C2645,Brachytherapy planar source Palladium-103 sheet per millimeter
HCPCS,C2698,Brachytherapy stranded source not otherwise specified
HCPCS,C2699,Brachytherapy non-stranded source not otherwise specified
HCPCS,C5271,Low cost skin substitute application trunk arm or leg first twenty five square centimeters
HCPCS,C5272,Low cost skin substitute trunk arm or leg under one hundred square centimeters add-on
HCPCS,C5273,Low cost skin substitute trunk arm or leg over one hundred square centimeters
HCPCS,C5274,Low cost skin substitute trunk arm or leg over one hundred square centimeters add-on
HCPCS,C5275,Low cost skin substitute face neck hands feet genitalia first twenty five square centimeters
HCPCS,C5276,Low cost skin substitute face neck hands feet under one hundred square centimeters add-on
HCPCS,C5277,Low cost skin substitute face neck hands feet over one hundred square centimeters
HCPCS,C5278,Low cost skin substitute face neck hands feet over one hundred square centimeters add-on
HCPCS,C7500,Bone debridement twenty square centimeters with drug delivery device
HCPCS,C7501,Percutaneous breast biopsy with stereotactic guidance
HCPCS,C7502,Percutaneous breast biopsy with MRI guidance
HCPCS,C7503,Open excision of cervical lymph nodes with identification
HCPCS,C7504,Percutaneous cervical and lumbar spinal injection vertebral bodies
HCPCS,C7505,Percutaneous lumbar and cervical spinal injection vertebral bodies
HCPCS,C7506,Surgical fusion of finger joints
HCPCS,C7507,Percutaneous thoracic and lumbar vertebral augmentation
HCPCS,C7508,Percutaneous lumbar and thoracic vertebral augmentation
HCPCS,C7509,Diagnostic bronchoscopy with electromagnetic navigation
HCPCS,C7510,Bronchoscopy with lavage and electromagnetic navigation
HCPCS,C7511,Bronchoscopy with biopsy and electromagnetic navigation
HCPCS,C7512,Bronchoscopy with biopsy and endobronchial ultrasound
HCPCS,C7513,Catheterization and angiography dialysis circuit with angioplasty
HCPCS,C7514,Catheterization and angiography dialysis circuit with stent placement
HCPCS,C7515,Catheterization and angiography dialysis circuit with embolization
HCPCS,C7516,Catheter placement coronary artery with intravascular ultrasound or OCT
HCPCS,C7517,Coronary angiography with iliac or femoral angiography
HCPCS,C7518,Coronary bypass graft angiography with intravascular ultrasound or OCT
HCPCS,C7519,Coronary and bypass graft angiography with flow reserve measurement
HCPCS,C7520,Coronary and bypass graft angiography with iliac or femoral angiography
HCPCS,C7521,Right heart catheterization and angiography with intravascular ultrasound
HCPCS,C7522,Right heart catheterization and angiography with flow reserve
HCPCS,C7523,Left heart catheterization and angiography with intravascular ultrasound
HCPCS,C7524,Left heart catheterization and angiography with flow reserve
HCPCS,C7525,Left heart catheterization with graft angiography and intravascular ultrasound
HCPCS,C7526,Left heart catheterization with graft angiography and flow reserve
HCPCS,C7527,Right and left heart catheterization with intravascular ultrasound
HCPCS,C7528,Right and left heart catheterization with flow reserve
HCPCS,C7529,Right and left heart catheterization with graft angiography and flow reserve
HCPCS,C7530,Catheter angioplasty dialysis circuit with stent placement
HCPCS,C7531,Femoral or popliteal artery angioplasty with ultrasound
HCPCS,C7532,Non-coronary angioplasty with intravascular ultrasound
HCPCS,C7533,Coronary angioplasty with brachytherapy device placement
HCPCS,C7534,Femoral or popliteal revascularization with atherectomy and ultrasound
HCPCS,C7535,Femoral or popliteal revascularization with stent and ultrasound
HCPCS,C7537,Insertion of atrial pacemaker with left ventricle lead
HCPCS,C7538,Insertion of ventricular pacemaker with left ventricle lead
HCPCS,C7539,Insertion of atrial and ventricular pacemaker with left ventricle lead
HCPCS,C7540,Removal and replacement of dual pacemaker with left ventricle lead
HCPCS,C7541,ERCP with pancreatoscopy direct visualization
HCPCS,C7542,ERCP with biopsy and pancreatoscopy
HCPCS,C7543,ERCP with sphincterotomy and pancreatoscopy
HCPCS,C7544,ERCP stone removal with pancreatoscopy
HCPCS,C7545,Exchange biliary catheter with removal of gallstones
HCPCS,C7546,Replacement nephrostomy or ureteral catheter with stricture dilation
HCPCS,C7547,Conversion of nephrostomy catheter with stricture dilation
HCPCS,C7548,Exchange of nephrostomy catheter with stricture dilation
HCPCS,C7549,Change ureteral stent with stricture dilation
HCPCS,C7550,Cystoscopy with biopsy using blue light cystoscopy
HCPCS,C7551,Excision of nerve tumor neuroma with nerve end implantation
HCPCS,C7552,Right heart with arterial or graft angiography and flow measurement
HCPCS,C7553,Right and left heart with arterial or ventricular angiography and drug admin
HCPCS,C7554,Cystourethroscopy with blue light cystoscopy fluorescent imaging
HCPCS,C7555,Removal of thyroid with autotransplantation of parathyroid
HCPCS,C7556,Bronchoscopy with lavage and endobronchial ultrasound
HCPCS,C7557,Coronary angiography and ventriculography with fractional flow reserve
HCPCS,C7558,Coronary angiography and ventriculography with drug administration
HCPCS,C7560,ERCP removal of foreign body with endoscopy
HCPCS,C7562,Right and left heart angiography with fractional flow reserve and 3D mapping
HCPCS,C7563,Transluminal balloon angioplasty all arteries
HCPCS,C7564,Venous mechanical thrombectomy with intravascular ultrasound
HCPCS,C7565,Repair anterior abdominal hernia less than three centimeters with mesh removal
HCPCS,C7900,Hospital remote mental health service initial fifteen to twenty nine minutes
HCPCS,C7901,Hospital remote mental health service initial thirty to sixty minutes
HCPCS,C7902,Hospital remote mental health service each additional fifteen minutes
HCPCS,C7903,Hospital remote mental health service group therapy
HCPCS,C8001,Three-D anatomic segmentation imaging preoperative planning
HCPCS,C8002,Preparation of autologous skin cell suspension automated
HCPCS,C8003,Implantation of external knee shock absorber device
HCPCS,C8005,Pulsed electric field bronchial ablation with 3D navigation and EBUS
HCPCS,C8900,MRI of abdomen and pelvis without and with contrast
HCPCS,C8901,MRA magnetic resonance angiography of abdomen without contrast
HCPCS,C8902,MRA magnetic resonance angiography of abdomen with and without contrast
HCPCS,C8903,MRI of breast with contrast one side
HCPCS,C8905,MRI of breast without and with contrast one side
HCPCS,C8906,MRI of breast with contrast both sides
HCPCS,C8908,MRI of breast without and with contrast both sides
HCPCS,C8909,MRA magnetic resonance angiography of chest with contrast
HCPCS,C8910,MRA magnetic resonance angiography of chest without contrast
HCPCS,C8911,MRA magnetic resonance angiography of chest with and without contrast
HCPCS,C8912,MRA magnetic resonance angiography of leg with contrast
HCPCS,C8913,MRA magnetic resonance angiography of leg without contrast
HCPCS,C8914,MRA magnetic resonance angiography of leg with and without contrast
HCPCS,C8918,MRA magnetic resonance angiography of pelvis with contrast
HCPCS,C8919,MRA magnetic resonance angiography of pelvis without contrast
HCPCS,C8920,MRA magnetic resonance angiography of pelvis with and without contrast
HCPCS,C8921,Transthoracic echocardiogram congenital complete with contrast
HCPCS,C8922,Transthoracic echocardiogram congenital limited with contrast
HCPCS,C8923,Transthoracic echocardiogram complete two-D with contrast
HCPCS,C8924,Transthoracic echocardiogram follow-up with contrast
HCPCS,C8925,Transesophageal echocardiogram two-D with contrast
HCPCS,C8926,Transesophageal echocardiogram congenital with contrast
HCPCS,C8927,Transesophageal echocardiogram monitoring with contrast
HCPCS,C8928,Transthoracic echocardiogram stress test with contrast
HCPCS,C8929,Transthoracic echocardiogram complete with Doppler and contrast
HCPCS,C8930,Transthoracic echocardiogram stress with continuous ECG and contrast
HCPCS,C8931,MRA magnetic resonance angiography of spinal canal with contrast
HCPCS,C8932,MRA magnetic resonance angiography of spinal canal without contrast
HCPCS,C8933,MRA magnetic resonance angiography of spinal canal with and without contrast
HCPCS,C8934,MRA magnetic resonance angiography of arm with contrast
HCPCS,C8935,MRA magnetic resonance angiography of arm without contrast
HCPCS,C8936,MRA magnetic resonance angiography of arm with and without contrast
HCPCS,C8937,Computer-aided detection analysis of breast MRI
HCPCS,C8950,IV infusion therapeutic or diagnostic up to one hour
HCPCS,C8951,IV infusion therapeutic or diagnostic each additional hour
HCPCS,C8955,Chemotherapy administration IV infusion additional hour
HCPCS,C8957,Prolonged IV infusion requiring portable pump
HCPCS,C9014,Injection cerliponase alfa enzyme for CLN2 disease
HCPCS,C9015,Injection C1 esterase inhibitor Haegarda for hereditary angioedema
HCPCS,C9016,Injection triptorelin extended release for prostate cancer
HCPCS,C9024,Injection daunorubicin and cytarabine liposomal for leukemia
HCPCS,C9028,Injection inotuzumab ozogamicin for leukemia
HCPCS,C9029,Injection guselkumab for psoriasis or arthritis
HCPCS,C9030,Injection copanlisib for lymphoma
HCPCS,C9031,Lutetium Lu-177 DOTATATE treatment for neuroendocrine tumors
HCPCS,C9033,Injection netupitant and palonosetron for nausea prevention
HCPCS,C9034,Injection dexamethasone intravitreal implant for eye inflammation
HCPCS,C9035,Injection aripiprazole lauroxil initiation for schizophrenia
HCPCS,C9036,Injection patisiran for hereditary transthyretin amyloidosis
HCPCS,C9037,Injection risperidone long-acting for schizophrenia
HCPCS,C9038,Injection mogamulizumab for T-cell lymphoma
HCPCS,C9039,Injection plazomicin antibiotic for urinary tract infections
HCPCS,C9040,Injection fremanezumab for migraine prevention
HCPCS,C9042,Injection bendamustine for cancer treatment
HCPCS,C9043,Injection levoleucovorin for chemotherapy rescue
HCPCS,C9044,Injection cemiplimab immunotherapy for skin cancer
HCPCS,C9045,Injection moxetumomab for hairy cell leukemia
HCPCS,C9046,Cocaine solution for nasal anesthesia
HCPCS,C9047,Injection caplacizumab for blood clotting disorder TTP
HCPCS,C9048,Dexamethasone ophthalmic insert for eye surgery
HCPCS,C9049,Injection tagraxofusp for blastic plasmacytoid dendritic cell neoplasm
HCPCS,C9050,Injection emapalumab for hemophagocytic lymphohistiocytosis
HCPCS,C9051,Injection omadacycline antibiotic
HCPCS,C9052,Injection ravulizumab for paroxysmal nocturnal hemoglobinuria
HCPCS,C9053,Injection crizanlizumab for sickle cell disease
HCPCS,C9054,Injection lefamulin antibiotic for pneumonia
HCPCS,C9055,Injection brexanolone for postpartum depression
HCPCS,C9056,Injection givosiran for acute hepatic porphyria
HCPCS,C9057,Injection cetirizine IV antihistamine
HCPCS,C9058,Injection pegfilgrastim biosimilar for neutropenia
HCPCS,C9059,Injection meloxicam IV anti-inflammatory
HCPCS,C9060,Fluoroestradiol F-18 PET breast cancer imaging
HCPCS,C9061,Injection teprotumumab for thyroid eye disease
HCPCS,C9062,Injection daratumumab with hyaluronidase subcutaneous for myeloma
HCPCS,C9063,Injection eptinezumab for migraine prevention
HCPCS,C9064,Mitomycin chemotherapy instillation into kidney upper urinary tract
HCPCS,C9065,Injection romidepsin for T-cell lymphoma
HCPCS,C9066,Injection sacituzumab govitecan for breast or bladder cancer
HCPCS,C9067,Gallium Ga-68 DOTATOC neuroendocrine tumor PET imaging
HCPCS,C9069,Injection belantamab mafodotin for multiple myeloma
HCPCS,C9070,Injection tafasitamab for diffuse large B-cell lymphoma
HCPCS,C9072,Injection immune globulin IV Asceniv for immunodeficiency
HCPCS,C9077,Injection cabotegravir and rilpivirine for HIV treatment
HCPCS,C9078,Injection trilaciclib for chemotherapy-induced myelosuppression
HCPCS,C9079,Injection evinacumab for homozygous familial hypercholesterolemia
HCPCS,C9080,Injection melphalan flufenamide for multiple myeloma
HCPCS,C9082,Injection dostarlimab immunotherapy for endometrial cancer
HCPCS,C9083,Injection amivantamab for non-small cell lung cancer
HCPCS,C9084,Injection loncastuximab tesirine for large B-cell lymphoma
HCPCS,C9085,Injection avalglucosidase alfa for Pompe disease
HCPCS,C9086,Injection anifrolumab for systemic lupus erythematosus
HCPCS,C9087,Injection cyclophosphamide chemotherapy
HCPCS,C9088,Injection bupivacaine and meloxicam extended release for pain
HCPCS,C9089,Bupivacaine implant extended release for pain management
HCPCS,C9090,Injection plasminogen human for plasminogen deficiency
HCPCS,C9091,Injection sirolimus protein-bound for cancer treatment
HCPCS,C9092,Injection triamcinolone acetonide suprachoroidal for eye disease
HCPCS,C9093,Injection ranibizumab implant for wet macular degeneration
HCPCS,C9094,Injection sutimlimab for cold agglutinin disease
HCPCS,C9095,Injection tebentafusp for uveal melanoma eye cancer
HCPCS,C9096,Injection filgrastim-ayow biosimilar for neutropenia
HCPCS,C9097,Injection faricimab for wet macular degeneration or diabetic eye disease
HCPCS,C9101,Injection oliceridine IV pain medication
HCPCS,C9113,Pantoprazole injection for acid reflux IV
HCPCS,C9115,Injection zoledronic acid for osteoporosis or bone metastases
HCPCS,C9122,Mometasone furoate sinus implant Sinuva for nasal polyps
HCPCS,C9132,Injection prothrombin complex concentrate Kcentra for bleeding reversal
HCPCS,C9140,Injection factor VIII recombinant Afstyla for hemophilia A
HCPCS,C9141,Injection factor VIII pegylated for hemophilia A
HCPCS,C9142,Injection bevacizumab biosimilar Alymsys for cancer
HCPCS,C9143,Cocaine nasal solution Numbrino for nasal anesthesia
HCPCS,C9144,Injection bupivacaine extended release Posimir for pain
HCPCS,C9145,Injection aprepitant IV for chemotherapy nausea prevention
HCPCS,C9146,Injection mirvetuximab soravtansine for ovarian cancer
HCPCS,C9147,Injection tremelimumab immunotherapy for liver cancer
HCPCS,C9148,Injection teclistamab for multiple myeloma
HCPCS,C9149,Injection teplizumab for type one diabetes prevention
HCPCS,C9151,Injection pegcetacoplan for paroxysmal nocturnal hemoglobinuria
HCPCS,C9152,Injection aripiprazole extended release for schizophrenia
HCPCS,C9153,Injection amisulpride IV for nausea and vomiting
HCPCS,C9154,Injection buprenorphine extended release Brixadi for opioid use disorder
HCPCS,C9155,Injection epcoritamab for diffuse large B-cell lymphoma
HCPCS,C9156,Flotufolastat F-18 diagnostic PET prostate cancer imaging
HCPCS,C9157,Injection tofersen for ALS with SOD1 mutation
HCPCS,C9158,Injection risperidone extended release Uzedy for schizophrenia
HCPCS,C9159,Injection factor XIII recombinant for factor XIII deficiency
HCPCS,C9160,Injection daxibotulinumtoxinA for cervical dystonia or lines
HCPCS,C9161,Injection aflibercept high dose for wet macular degeneration
HCPCS,C9162,Injection avacincaptad pegol for geographic atrophy eye disease
